network_id,n_controls,total_Q,method,converged,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
0,13,46,1,True,5,0.007971,0.00087092,5,0.007971,0.00004637,0.00000000,0.00004637,0.001,,"{""v0"": 0.015385, ""v1"": 0.035483, ""v2"": 0.148089, ""v3"": 0.148665, ""v4"": 0.171282, ""v5"": 0.015385, ""v6"": 0.04571, ""v7"": 0.015385, ""v8"": 0.015385, ""v9"": 0.039743, ""v10"": 0.015385, ""v11"": 0.16723, ""v12"": 0.166875}","{""v0"": [4.7e-05, 4.6e-05, 4.3e-05, 3.3e-05], ""v1"": [3.9e-05, 3.2e-05, 3.1e-05, 2.6e-05, 2.4e-05, 2.3e-05, 2e-05], ""v2"": [5.8e-05, 2.9e-05, 2.4e-05, 1.8e-05], ""v3"": [0.000302, 0.000191, 0.00014], ""v4"": [0.001563, 0.00145, 0.000966], ""v5"": [0.010306], ""v6"": [0.009838, 0.008767, 0.007958], ""v7"": [0.012934, 0.010215], ""v8"": [0.015781, 0.013026, 0.011448], ""v9"": [0.013231, 0.013167, 0.01209, 0.009866, 0.008384], ""v10"": [0.017155, 0.01679, 0.016365, 0.013509], ""v11"": [0.020916, 0.020393], ""v12"": [0.150587, 0.146969, 0.137865, 0.12941, 0.105852]}"
0,13,46,2,True,16,0.030303,0.00098124,16,0.030303,0.00002517,-0.00002120,0.00004637,0.001,1,"{""v0"": 0.004808, ""v1"": 0.019402, ""v2"": 0.248206, ""v3"": 0.16494, ""v4"": 0.165839, ""v5"": 0.004808, ""v6"": 0.026976, ""v7"": 0.004808, ""v8"": 0.004808, ""v9"": 0.019924, ""v10"": 0.004808, ""v11"": 0.16494, ""v12"": 0.165736}","{""v0"": [2.6e-05, 2.5e-05, 2.5e-05, 2.2e-05], ""v1"": [2.2e-05, 2e-05, 1.9e-05, 1.7e-05, 1.6e-05, 1.5e-05, 1.4e-05], ""v2"": [2.7e-05, 1.3e-05, 1e-05, 8e-06], ""v3"": [0.000395, 0.000246, 0.00018], ""v4"": [0.002421, 0.002248, 0.001502], ""v5"": [0.016989], ""v6"": [0.014577, 0.013481, 0.012597], ""v7"": [0.018541, 0.016927], ""v8"": [0.019763, 0.018373, 0.017406], ""v9"": [0.017168, 0.017121, 0.016298, 0.014392, 0.012938], ""v10"": [0.020346, 0.020197, 0.020019, 0.018641], ""v11"": [0.021687, 0.021147], ""v12"": [0.152393, 0.148739, 0.139543, 0.131001, 0.107189]}"
1,14,45,1,True,24980,43.765308,0.00099922,24980,43.765308,0.01343563,0.00000000,0.01343563,0.001,,"{""v0"": 0.181631, ""v1"": 0.231537, ""v2"": 0.118366, ""v3"": 0.089765, ""v4"": 0.133987, ""v5"": 0.038617, ""v6"": 0.072353, ""v7"": 0.057226, ""v8"": 0.071512, ""v9"": 0.001519, ""v10"": 0.001492, ""v11"": 0.001616, ""v12"": 0.000378, ""v13"": 3e-06}","{""v0"": [0.013412], ""v1"": [0.013439, 0.010743, 0.007485], ""v2"": [0.013413, 0.006877], ""v3"": [0.070102, 0.06121, 0.048769, 0.03499, 0.03203], ""v4"": [0.232324, 0.229131, 0.207105, 0.171107], ""v5"": [0.232058, 0.214417], ""v6"": [0.376687, 0.373526, 0.371196, 0.302192], ""v7"": [0.231332, 0.193086], ""v8"": [0.439202, 0.422824, 0.399969, 0.312642], ""v9"": [0.983046, 0.980623, 0.972278, 0.968437], ""v10"": [0.983559, 0.980091, 0.93066], ""v11"": [0.981232, 0.97542, 0.973663, 0.951548, 0.94338], ""v12"": [0.986653], ""v13"": [0.999967, 0.999963, 0.999957, 0.999951, 0.999861]}"
1,14,45,2,True,55579,88.767504,0.00099835,55579,88.767504,0.01352353,0.00008790,0.01343563,0.001,1,"{""v0"": 0.18091, ""v1"": 0.230559, ""v2"": 0.118291, ""v3"": 0.089152, ""v4"": 0.135192, ""v5"": 0.039425, ""v6"": 0.073043, ""v7"": 0.057715, ""v8"": 0.072014, ""v9"": 0.00125, ""v10"": 0.000588, ""v11"": 0.001239, ""v12"": 0.000533, ""v13"": 8.9e-05}","{""v0"": [0.013473], ""v1"": [0.013528, 0.010815, 0.007536], ""v2"": [0.013472, 0.006907], ""v3"": [0.070356, 0.061457, 0.048993, 0.035172, 0.0322], ""v4"": [0.231496, 0.228302, 0.206281, 0.170325], ""v5"": [0.22998, 0.212246], ""v6"": [0.376921, 0.373741, 0.371399, 0.302074], ""v7"": [0.230908, 0.192544], ""v8"": [0.44072, 0.424217, 0.401195, 0.313329], ""v9"": [0.986027, 0.984023, 0.977109, 0.97392], ""v10"": [0.993478, 0.992085, 0.971571], ""v11"": [0.985568, 0.981073, 0.979712, 0.962481, 0.956071], ""v12"": [0.980276], ""v13"": [0.998962, 0.998859, 0.998678, 0.998467, 0.995695]}"
2,13,31,1,True,34093,39.601226,0.00099989,34093,39.601226,0.01722821,0.00000000,0.01722821,0.001,,"{""v0"": 0.041099, ""v1"": 0.021224, ""v2"": 0.038534, ""v3"": 0.025717, ""v4"": 0.000154, ""v5"": 3.7e-05, ""v6"": 0.160949, ""v7"": 0.154955, ""v8"": 0.276023, ""v9"": 0.16098, ""v10"": 2.4e-05, ""v11"": 0.061822, ""v12"": 0.058482}","{""v0"": [0.017251, 0.013161, 0.012453, 0.011775], ""v1"": [0.017175, 0.013251], ""v2"": [0.01716, 0.01272, 0.010702], ""v3"": [0.017157, 0.013549], ""v4"": [0.027635, 0.027571], ""v5"": [0.027698, 0.027695, 0.027694], ""v6"": [0.027683, 0.02056, 0.010419], ""v7"": [0.161189, 0.074918], ""v8"": [0.027709, 0.00813, 0.00799], ""v9"": [0.02771], ""v10"": [0.511014], ""v11"": [0.510408, 0.343809], ""v12"": [0.511202, 0.361796, 0.345879]}"
2,13,31,2,True,76031,77.123365,0.00099953,76031,77.123365,0.01728557,0.00005736,0.01722821,0.001,1,"{""v0"": 0.040517, ""v1"": 0.020951, ""v2"": 0.037608, ""v3"": 0.025127, ""v4"": 0.000265, ""v5"": 9.3e-05, ""v6"": 0.16066, ""v7"": 0.155487, ""v8"": 0.277183, ""v9"": 0.162939, ""v10"": 1e-06, ""v11"": 0.06116, ""v12"": 0.058009}","{""v0"": [0.017302, 0.013234, 0.012528, 0.01185], ""v1"": [0.017208, 0.013303], ""v2"": [0.017289, 0.012875, 0.010856], ""v3"": [0.017226, 0.013651], ""v4"": [0.027472, 0.027364], ""v5"": [0.027582, 0.027575, 0.027572], ""v6"": [0.027614, 0.020512, 0.010398], ""v7"": [0.160277, 0.074451], ""v8"": [0.02754, 0.008077, 0.007937], ""v9"": [0.027235], ""v10"": [0.514002], ""v11"": [0.51401, 0.347069], ""v12"": [0.513883, 0.364277, 0.34831]}"
3,12,43,1,True,247637,538.157982,0.00099988,247637,538.157982,0.08585148,0.00000000,0.08585148,0.001,,"{""v0"": 0.128859, ""v1"": 0.000237, ""v2"": 0.0, ""v3"": 0.0, ""v4"": 0.0, ""v5"": 0.19941, ""v6"": 0.225976, ""v7"": 0.000896, ""v8"": 0.000889, ""v9"": 0.000968, ""v10"": 0.223315, ""v11"": 0.219449}","{""v0"": [0.085853], ""v1"": [0.996946, 0.995847, 0.992902], ""v2"": [0.999995, 0.999992, 0.999992, 0.999985], ""v3"": [0.999995, 0.999993], ""v4"": [0.999996, 0.999994, 0.999991], ""v5"": [0.085846, 0.080428, 0.079334, 0.046119, 0.042535, 0.040842, 0.038968], ""v6"": [0.085846, 0.074677, 0.07096, 0.052547, 0.048069, 0.04005, 0.028717], ""v7"": [0.085398, 0.084965], ""v8"": [0.085395, 0.0843, 0.08346], ""v9"": [0.085011, 0.083812, 0.083631], ""v10"": [0.08639, 0.07554, 0.062185, 0.034318], ""v11"": [0.086385, 0.066822, 0.053713, 0.029969]}"
3,12,43,2,True,393726,263.097632,0.00099996,393726,263.097632,0.08599038,0.00013890,0.08585148,0.001,1,"{""v0"": 0.129405, ""v1"": 0.0, ""v2"": 0.0, ""v3"": 1e-06, ""v4"": 0.000313, ""v5"": 0.199367, ""v6"": 0.225808, ""v7"": 0.000911, ""v8"": 0.001072, ""v9"": 0.00115, ""v10"": 0.22292, ""v11"": 0.219052}","{""v0"": [0.085263], ""v1"": [0.999997, 0.999996, 0.999994], ""v2"": [0.999997, 0.999995, 0.999995, 0.99999], ""v3"": [0.99999, 0.999985], ""v4"": [0.99589, 0.994169, 0.991299], ""v5"": [0.085885, 0.080465, 0.07937, 0.046141, 0.042555, 0.040861, 0.038986], ""v6"": [0.085993, 0.074806, 0.071083, 0.05264, 0.048155, 0.040122, 0.028769], ""v7"": [0.085728, 0.085285], ""v8"": [0.085537, 0.08422, 0.083214], ""v9"": [0.085098, 0.083679, 0.083466], ""v10"": [0.08674, 0.075849, 0.062444, 0.034465], ""v11"": [0.086739, 0.067102, 0.053941, 0.030099]}"
4,14,47,1,True,198788,444.901441,0.00099980,198788,444.901441,0.05556835,0.00000000,0.05556835,0.001,,"{""v0"": 0.230509, ""v1"": 0.000308, ""v2"": 1e-06, ""v3"": 0.0, ""v4"": 0.0, ""v5"": 0.276054, ""v6"": 0.08084, ""v7"": 0.105433, ""v8"": 0.07063, ""v9"": 0.0, ""v10"": 0.00029, ""v11"": 1e-06, ""v12"": 0.12456, ""v13"": 0.111375}","{""v0"": [0.055551, 0.026549], ""v1"": [0.995051, 0.994234], ""v2"": [0.999987, 0.999983], ""v3"": [0.99999, 0.99999, 0.999981, 0.999979], ""v4"": [0.999995, 0.999995, 0.999995, 0.999994], ""v5"": [0.055569, 0.05325, 0.043101, 0.035459, 0.033457], ""v6"": [0.055198, 0.049349, 0.047339], ""v7"": [0.135117, 0.124994, 0.114222, 0.098174], ""v8"": [0.455008, 0.295086, 0.275841, 0.256378, 0.232182, 0.211358], ""v9"": [0.055343, 0.055342, 0.055342], ""v10"": [0.055123, 0.055111, 0.055104], ""v11"": [0.055342, 0.055342, 0.055342], ""v12"": [0.055343, 0.045377, 0.035082], ""v13"": [0.245959, 0.147906, 0.091]}"
4,14,47,2,True,273211,249.213051,0.00099993,273211,249.213051,0.05559742,0.00002907,0.05556835,0.001,1,"{""v0"": 0.230682, ""v1"": 0.0, ""v2"": 1e-06, ""v3"": 2.6e-05, ""v4"": 0.000315, ""v5"": 0.276, ""v6"": 0.082049, ""v7"": 0.10551, ""v8"": 0.06933, ""v9"": 1e-05, ""v10"": 0.0, ""v11"": 9e-06, ""v12"": 0.123896, ""v13"": 0.112172}","{""v0"": [0.055434, 0.026492], ""v1"": [0.999996, 0.999995], ""v2"": [0.99997, 0.99996], ""v3"": [0.995891, 0.995889, 0.995393, 0.995272], ""v4"": [0.996198, 0.996198, 0.996004, 0.995367], ""v5"": [0.055599, 0.053279, 0.043124, 0.035479, 0.033476], ""v6"": [0.055206, 0.04931, 0.047286], ""v7"": [0.136885, 0.126626, 0.11571, 0.099448], ""v8"": [0.461423, 0.30049, 0.281032, 0.261335, 0.23682, 0.215697], ""v9"": [0.055258, 0.055257, 0.055252], ""v10"": [0.055264, 0.055264, 0.055264], ""v11"": [0.055258, 0.055257, 0.055253], ""v12"": [0.055264, 0.045331, 0.035061], ""v13"": [0.243769, 0.146419, 0.090025]}"
