network_id,n_controls,total_Q,rho,batch,runs,exact_runs,exact_iters,max_iters,exact_time_s,exact_time_std,target_obj,stoch_reached,stoch_iters_to_target,stoch_time_to_target_s,extra_iters,extra_time_s,iter_ratio,time_ratio,target_ell
0,13,46,5.0,1,10,10,2000,100000,2.329138,0.009247,0.00240507,10/10,56773.2,26.171180,54773.2,23.842042,28.387,11.236,"{""v0"": 0.000489, ""v1"": 8.3e-05, ""v2"": 0.122282, ""v3"": 0.117976, ""v4"": 0.265585, ""v5"": 3.8e-05, ""v6"": 0.000498, ""v7"": 3.8e-05, ""v8"": 3.8e-05, ""v9"": 9.8e-05, ""v10"": 0.000706, ""v11"": 0.253597, ""v12"": 0.23857}"
1,14,45,5.0,1,10,10,2000,100000,3.145795,0.003422,0.09187433,10/10,4333.4,2.309459,2333.4,-0.836336,2.167,0.734,"{""v0"": 0.206365, ""v1"": 0.287328, ""v2"": 0.151409, ""v3"": 0.108923, ""v4"": 0.086711, ""v5"": 0.013111, ""v6"": 0.056515, ""v7"": 0.027225, ""v8"": 0.053622, ""v9"": 0.001488, ""v10"": 0.003401, ""v11"": 0.00338, ""v12"": 0.000486, ""v13"": 3.6e-05}"
2,13,31,5.0,1,10,10,2000,100000,2.392360,0.003256,0.10838337,10/10,9258.8,4.185264,7258.8,1.792905,4.629,1.749,"{""v0"": 0.042514, ""v1"": 0.020834, ""v2"": 0.037644, ""v3"": 0.025535, ""v4"": 0.000417, ""v5"": 0.000156, ""v6"": 0.156909, ""v7"": 0.168444, ""v8"": 0.351257, ""v9"": 0.166757, ""v10"": 6e-05, ""v11"": 0.015237, ""v12"": 0.014235}"
3,12,43,5.0,1,10,10,2000,100000,4.363729,0.005327,0.26742923,10/10,3886.3,0.897144,1886.3,-3.466585,1.943,0.206,"{""v0"": 0.104356, ""v1"": 0.000156, ""v2"": 4.2e-05, ""v3"": 4.2e-05, ""v4"": 4.2e-05, ""v5"": 0.193569, ""v6"": 0.233058, ""v7"": 0.009368, ""v8"": 0.009296, ""v9"": 0.009846, ""v10"": 0.22305, ""v11"": 0.217176}"
4,14,47,5.0,1,10,10,2000,100000,4.349200,0.004487,0.21712519,10/10,2630.0,0.840578,630.0,-3.508623,1.315,0.193,"{""v0"": 0.213889, ""v1"": 0.003027, ""v2"": 5.4e-05, ""v3"": 3.9e-05, ""v4"": 3.9e-05, ""v5"": 0.284195, ""v6"": 0.070626, ""v7"": 0.111299, ""v8"": 0.08498, ""v9"": 3.6e-05, ""v10"": 0.002645, ""v11"": 0.000138, ""v12"": 0.115593, ""v13"": 0.113439}"
5,15,39,5.0,1,10,10,2000,100000,2.180982,0.002277,0.00175178,10/10,9011.6,3.778187,7011.6,1.597205,4.506,1.732,"{""v0"": 0.000317, ""v1"": 3.3e-05, ""v2"": 3.3e-05, ""v3"": 0.000411, ""v4"": 3.3e-05, ""v5"": 3.3e-05, ""v6"": 3.3e-05, ""v7"": 3.3e-05, ""v8"": 3.3e-05, ""v9"": 0.09149, ""v10"": 0.001841, ""v11"": 0.000441, ""v12"": 3.3e-05, ""v13"": 0.501315, ""v14"": 0.403918}"
6,14,46,5.0,1,10,10,2000,100000,2.892126,0.003263,0.04423846,10/10,7900.1,3.154366,5900.1,0.262240,3.950,1.091,"{""v0"": 0.424394, ""v1"": 0.545066, ""v2"": 0.003667, ""v3"": 0.004777, ""v4"": 0.000423, ""v5"": 0.000285, ""v6"": 0.000679, ""v7"": 0.004089, ""v8"": 0.003248, ""v9"": 3.6e-05, ""v10"": 3.6e-05, ""v11"": 0.000285, ""v12"": 0.006544, ""v13"": 0.006471}"
7,12,31,5.0,1,10,10,2000,100000,1.662473,0.002638,0.00396847,9/10,40527.3,12.468528,38527.3,10.806056,20.264,7.500,"{""v0"": 0.000328, ""v1"": 0.000486, ""v2"": 4.2e-05, ""v3"": 4.2e-05, ""v4"": 0.997268, ""v5"": 0.000115, ""v6"": 8.6e-05, ""v7"": 9.7e-05, ""v8"": 4.2e-05, ""v9"": 4.2e-05, ""v10"": 0.000138, ""v11"": 0.001315}"
8,14,49,5.0,1,10,10,2000,100000,3.424776,0.002082,0.04673743,10/10,13743.0,6.322382,11743.0,2.897606,6.872,1.846,"{""v0"": 0.441803, ""v1"": 0.00152, ""v2"": 0.000845, ""v3"": 0.268014, ""v4"": 0.274574, ""v5"": 9.8e-05, ""v6"": 3.6e-05, ""v7"": 0.001468, ""v8"": 0.000129, ""v9"": 3.6e-05, ""v10"": 0.000227, ""v11"": 0.001287, ""v12"": 0.004353, ""v13"": 0.00561}"
9,10,23,5.0,1,10,10,2000,100000,1.116324,0.001304,0.00450083,10/10,11794.0,2.215539,9794.0,1.099215,5.897,1.985,"{""v0"": 0.000256, ""v1"": 0.00137, ""v2"": 0.000103, ""v3"": 0.003182, ""v4"": 0.994253, ""v5"": 5e-05, ""v6"": 5e-05, ""v7"": 7.6e-05, ""v8"": 5e-05, ""v9"": 0.000611}"
