network_id,n_controls,total_Q,rho,defender_policy,attacker_policy,gradient,samples,converged,stop_reason,iters,defender_opt_time_s,final_regret,defender_assumed_value,attacker_value,value_gap,final_ell,final_indices
0,13,46,5.0,greedy_probability,index,stochastic,10,True,regret,43,0.030877,0.00098586,0.00238077,0.00834954,0.00596877,"{""v0"": 0.001789, ""v1"": 0.014596, ""v2"": 0.118976, ""v3"": 0.14806, ""v4"": 0.172746, ""v5"": 0.001789, ""v6"": 0.15203, ""v7"": 0.001789, ""v8"": 0.001789, ""v9"": 0.089022, ""v10"": 0.001789, ""v11"": 0.1533, ""v12"": 0.142325}","{""v0"": [0.008802, 0.008785, 0.008733, 0.008551], ""v1"": [0.008141, 0.007761, 0.007661, 0.007196, 0.006966, 0.006872, 0.006516], ""v2"": [0.008913, 0.005504, 0.004695, 0.003719], ""v3"": [0.018304, 0.012935, 0.010039], ""v4"": [0.043324, 0.040881, 0.029378], ""v5"": [0.151749], ""v6"": [0.063713, 0.054371, 0.047824], ""v7"": [0.154524, 0.151631], ""v8"": [0.156423, 0.154093, 0.152301], ""v9"": [0.094949, 0.094438, 0.086009, 0.069023, 0.058012], ""v10"": [0.157416, 0.157159, 0.156847, 0.154564], ""v11"": [0.159561, 0.156656], ""v12"": [0.423915, 0.416953, 0.398946, 0.381566, 0.329477]}"
1,14,45,5.0,greedy_probability,index,stochastic,10,True,regret,1007,0.427502,0.00099905,0.00471882,0.75386195,0.74914313,"{""v0"": 7.1e-05, ""v1"": 0.438106, ""v2"": 0.000427, ""v3"": 8.4e-05, ""v4"": 0.357536, ""v5"": 7.1e-05, ""v6"": 7.1e-05, ""v7"": 7.1e-05, ""v8"": 7.1e-05, ""v9"": 7.1e-05, ""v10"": 0.203209, ""v11"": 7.1e-05, ""v12"": 7.1e-05, ""v13"": 7.1e-05}","{""v0"": [0.997605], ""v1"": [0.065503, 0.052452, 0.036621], ""v2"": [0.993842, 0.989024], ""v3"": [0.998064, 0.997925, 0.997645, 0.997104, 0.996927], ""v4"": [0.148868, 0.146592, 0.131086, 0.106444], ""v5"": [0.998576, 0.998474], ""v6"": [0.999059, 0.999052, 0.999046, 0.998844], ""v7"": [0.998758, 0.998585], ""v8"": [0.999176, 0.999147, 0.999102, 0.998869], ""v9"": [0.999601, 0.999542, 0.99934, 0.999245], ""v10"": [0.337811, 0.295678, 0.102701], ""v11"": [0.999584, 0.999452, 0.999411, 0.998892, 0.998695], ""v12"": [0.998314], ""v13"": [0.999586, 0.999545, 0.999472, 0.999388, 0.998278]}"
2,13,31,5.0,greedy_probability,index,stochastic,10,True,regret,735,0.307679,0.00099882,0.00642525,0.35562682,0.34920157,"{""v0"": 0.331794, ""v1"": 0.000105, ""v2"": 0.000105, ""v3"": 0.000105, ""v4"": 0.000105, ""v5"": 0.000105, ""v6"": 0.330415, ""v7"": 0.000105, ""v8"": 0.320382, ""v9"": 0.000105, ""v10"": 0.000105, ""v11"": 0.016467, ""v12"": 0.000105}","{""v0"": [0.059583, 0.035301, 0.03216, 0.029361], ""v1"": [0.98996, 0.98521], ""v2"": [0.993009, 0.990166, 0.988106], ""v3"": [0.984305, 0.980895], ""v4"": [0.989668, 0.98615], ""v5"": [0.993274, 0.992621, 0.992329], ""v6"": [0.140912, 0.103501, 0.051641], ""v7"": [0.999266, 0.998261], ""v8"": [0.175304, 0.056591, 0.055655], ""v9"": [0.996127], ""v10"": [0.998523], ""v11"": [0.912234, 0.839325], ""v12"": [0.999371, 0.998839, 0.998756]}"
3,12,43,5.0,greedy_probability,index,stochastic,10,True,regret,2280,0.417492,0.00099964,0.00662345,0.99961365,0.99299020,"{""v0"": 3.7e-05, ""v1"": 3.7e-05, ""v2"": 3.7e-05, ""v3"": 3.7e-05, ""v4"": 3.7e-05, ""v5"": 3.7e-05, ""v6"": 0.999314, ""v7"": 0.000178, ""v8"": 3.7e-05, ""v9"": 3.7e-05, ""v10"": 0.000178, ""v11"": 3.7e-05}","{""v0"": [0.999021], ""v1"": [0.999764, 0.999679, 0.999449], ""v2"": [0.999732, 0.999544, 0.999544, 0.999168], ""v3"": [0.999729, 0.999597], ""v4"": [0.999759, 0.999658, 0.999488], ""v5"": [0.999693, 0.999671, 0.999666, 0.999405, 0.999352, 0.999324, 0.99929], ""v6"": [0.005455, 0.004692, 0.004442, 0.003229, 0.002941, 0.002431, 0.001724], ""v7"": [0.998542, 0.998031], ""v8"": [0.999485, 0.999201, 0.998981], ""v9"": [0.999415, 0.999127, 0.999084], ""v10"": [0.998868, 0.998691, 0.998387, 0.996995], ""v11"": [0.999758, 0.99968, 0.999596, 0.999259]}"
4,14,47,5.0,greedy_probability,index,stochastic,10,True,regret,2413,0.721001,0.00099995,0.00594465,0.99691470,0.99097006,"{""v0"": 3e-05, ""v1"": 3e-05, ""v2"": 3e-05, ""v3"": 3e-05, ""v4"": 3e-05, ""v5"": 0.543761, ""v6"": 3e-05, ""v7"": 3e-05, ""v8"": 3e-05, ""v9"": 0.455884, ""v10"": 3e-05, ""v11"": 3e-05, ""v12"": 3e-05, ""v13"": 3e-05}","{""v0"": [0.999454, 0.999132], ""v1"": [0.999761, 0.999722], ""v2"": [0.999629, 0.999512], ""v3"": [0.999646, 0.999645, 0.999358, 0.999288], ""v4"": [0.999821, 0.999821, 0.999812, 0.999782], ""v5"": [0.057957, 0.055545, 0.044979, 0.037017, 0.034931], ""v6"": [0.999437, 0.999402, 0.999388], ""v7"": [0.99962, 0.999597, 0.99957, 0.999518], ""v8"": [0.999827, 0.999656, 0.999622, 0.999582, 0.999523, 0.999462], ""v9"": [0.073994, 0.064821, 0.041316], ""v10"": [0.999233, 0.99922, 0.999213], ""v11"": [0.999243, 0.999196, 0.999075], ""v12"": [0.999504, 0.999433, 0.999318], ""v13"": [0.999778, 0.999583, 0.999278]}"
5,15,39,5.0,greedy_probability,index,stochastic,10,True,regret,322,0.140399,0.00099900,0.00154944,0.00815689,0.00660745,"{""v0"": 0.000207, ""v1"": 0.000207, ""v2"": 0.000207, ""v3"": 0.144043, ""v4"": 0.000207, ""v5"": 0.000207, ""v6"": 0.000207, ""v7"": 0.000207, ""v8"": 0.000207, ""v9"": 0.121382, ""v10"": 0.230217, ""v11"": 0.000207, ""v12"": 0.000207, ""v13"": 0.306404, ""v14"": 0.195885}","{""v0"": [0.011921, 0.01192, 0.011917], ""v1"": [0.011922, 0.011917, 0.011914, 0.011899], ""v2"": [0.011915], ""v3"": [0.004177, 0.004105, 0.003399], ""v4"": [0.011873, 0.01187, 0.011836], ""v5"": [0.01191, 0.01191, 0.011892], ""v6"": [0.011689, 0.011684, 0.011633], ""v7"": [0.011785, 0.011778], ""v8"": [0.01187], ""v9"": [0.011944], ""v10"": [0.014226, 0.010153], ""v11"": [0.056864, 0.056713], ""v12"": [0.05703, 0.057027, 0.056963], ""v13"": [0.057106, 0.055967, 0.053422, 0.020959], ""v14"": [0.336615, 0.309481, 0.188906, 0.119132]}"
6,14,46,5.0,greedy_probability,index,stochastic,10,True,regret,457,0.323388,0.00099934,0.00431138,0.39522951,0.39091813,"{""v0"": 0.000156, ""v1"": 0.469806, ""v2"": 0.000156, ""v3"": 0.000156, ""v4"": 0.285337, ""v5"": 0.07392, ""v6"": 0.001397, ""v7"": 0.000182, ""v8"": 0.000156, ""v9"": 0.000156, ""v10"": 0.000156, ""v11"": 0.082163, ""v12"": 0.000156, ""v13"": 0.086101}","{""v0"": [0.995222], ""v1"": [0.066861, 0.062071, 0.053661, 0.033554, 0.030725], ""v2"": [0.997449, 0.994921], ""v3"": [0.997535, 0.997157, 0.995229], ""v4"": [0.114332, 0.103542, 0.095519, 0.083452, 0.035933], ""v5"": [0.609363, 0.330294], ""v6"": [0.98884, 0.975753, 0.969948], ""v7"": [0.997379, 0.996703, 0.996536], ""v8"": [0.998896, 0.998707, 0.998353], ""v9"": [0.996832, 0.995721], ""v10"": [0.997825, 0.997629, 0.997131, 0.997063], ""v11"": [0.631093, 0.555385, 0.535078, 0.44982], ""v12"": [0.998879, 0.998872, 0.998422, 0.99813, 0.997164, 0.996472], ""v13"": [0.606077, 0.51717, 0.380669]}"
7,12,31,5.0,greedy_probability,index,stochastic,10,True,regret,826,0.357004,0.00099900,0.00399395,0.02457268,0.02057873,"{""v0"": 0.000101, ""v1"": 0.164867, ""v2"": 0.000101, ""v3"": 0.000101, ""v4"": 0.628066, ""v5"": 0.202051, ""v6"": 0.000101, ""v7"": 0.000101, ""v8"": 0.000101, ""v9"": 0.000101, ""v10"": 0.004208, ""v11"": 0.000101}","{""v0"": [0.024626, 0.024626, 0.024621, 0.024591], ""v1"": [0.009662], ""v2"": [0.024622, 0.024611, 0.024601], ""v3"": [0.024605], ""v4"": [0.024641, 0.022491, 0.022326, 0.015559, 0.013536], ""v5"": [0.328587, 0.215307], ""v6"": [0.995635, 0.99542], ""v7"": [0.997796, 0.997642, 0.997047], ""v8"": [0.998785, 0.997434], ""v9"": [0.999405, 0.99924], ""v10"": [0.972694, 0.953799, 0.9421, 0.923167], ""v11"": [0.999291, 0.999117]}"
8,14,49,5.0,greedy_probability,index,stochastic,10,True,regret,712,0.411947,0.00099914,0.00409550,0.43250548,0.42840998,"{""v0"": 0.0001, ""v1"": 0.210072, ""v2"": 0.0001, ""v3"": 0.309747, ""v4"": 0.207477, ""v5"": 0.053005, ""v6"": 0.0001, ""v7"": 0.0001, ""v8"": 0.0001, ""v9"": 0.0001, ""v10"": 0.0001, ""v11"": 0.0001, ""v12"": 0.218796, ""v13"": 0.0001}","{""v0"": [0.997674], ""v1"": [0.017109, 0.016067, 0.015819], ""v2"": [0.053237, 0.053229, 0.053224, 0.053175], ""v3"": [0.053281, 0.037002, 0.023409], ""v4"": [0.301616, 0.30026, 0.190333], ""v5"": [0.710733, 0.673528, 0.653807, 0.447226], ""v6"": [0.998369, 0.997918], ""v7"": [0.999183, 0.998946, 0.997897], ""v8"": [0.997202, 0.997003, 0.996881, 0.996777, 0.996246], ""v9"": [0.997191, 0.99713, 0.996495, 0.995219], ""v10"": [0.998005, 0.997919, 0.997828, 0.997697, 0.997107], ""v11"": [0.998916, 0.998591, 0.998477], ""v12"": [0.301748, 0.286932, 0.257807, 0.225569, 0.224026], ""v13"": [0.99924, 0.998359, 0.998225, 0.998138]}"
9,10,23,5.0,greedy_probability,index,stochastic,10,True,regret,353,0.113723,0.00099811,0.00336544,0.04504976,0.04168432,"{""v0"": 0.260463, ""v1"": 0.000283, ""v2"": 0.000283, ""v3"": 0.281576, ""v4"": 0.222242, ""v5"": 0.000283, ""v6"": 0.000283, ""v7"": 0.000283, ""v8"": 0.000283, ""v9"": 0.234019}","{""v0"": [0.03941, 0.035419, 0.032441, 0.028191], ""v1"": [0.240327, 0.239901], ""v2"": [0.241149, 0.24103, 0.240958, 0.240713, 0.24023], ""v3"": [0.04564, 0.03822], ""v4"": [0.241577, 0.110962], ""v5"": [0.994099, 0.988693], ""v6"": [0.997328, 0.994625], ""v7"": [0.997774], ""v8"": [0.997996], ""v9"": [0.283776, 0.275368]}"
10,12,38,5.0,greedy_probability,index,stochastic,10,True,regret,1812,0.571515,0.00099966,0.00675078,0.99974000,0.99298922,"{""v0"": 4.6e-05, ""v1"": 4.6e-05, ""v2"": 4.6e-05, ""v3"": 0.499655, ""v4"": 4.6e-05, ""v5"": 4.6e-05, ""v6"": 4.6e-05, ""v7"": 4.6e-05, ""v8"": 4.6e-05, ""v9"": 4.6e-05, ""v10"": 0.499885, ""v11"": 4.6e-05}","{""v0"": [0.999676, 0.999274], ""v1"": [0.999736, 0.999707, 0.999704, 0.999661, 0.999534], ""v2"": [0.99974], ""v3"": [0.066018, 0.04566, 0.033], ""v4"": [0.998434, 0.998383, 0.997918, 0.997755], ""v5"": [0.998654, 0.998499, 0.998421, 0.998365], ""v6"": [0.998963, 0.998941, 0.998925, 0.998863, 0.998812], ""v7"": [0.998947, 0.998748], ""v8"": [0.999317, 0.999251, 0.999177, 0.999059], ""v9"": [0.999723, 0.999619], ""v10"": [0.073457, 0.065523, 0.028217], ""v11"": [0.99974, 0.999386, 0.999319]}"
11,11,36,5.0,greedy_probability,index,stochastic,10,True,regret,1265,0.335100,0.00099978,0.00567229,0.84530895,0.83963666,"{""v0"": 7.2e-05, ""v1"": 7.2e-05, ""v2"": 7.2e-05, ""v3"": 7.2e-05, ""v4"": 7.2e-05, ""v5"": 7.2e-05, ""v6"": 7.2e-05, ""v7"": 7.2e-05, ""v8"": 0.517483, ""v9"": 7.2e-05, ""v10"": 0.48187}","{""v0"": [0.997997, 0.99789, 0.997576, 0.997548, 0.997212], ""v1"": [0.998606, 0.998328, 0.997446], ""v2"": [0.999148, 0.999142, 0.999055, 0.998893], ""v3"": [0.999142, 0.999031, 0.998759, 0.998682, 0.998581], ""v4"": [0.99906], ""v5"": [0.999561, 0.999485], ""v6"": [0.999548, 0.999172, 0.998737], ""v7"": [0.999158], ""v8"": [0.054973, 0.054534, 0.053035, 0.050868, 0.045334, 0.039332, 0.034964], ""v9"": [0.999408, 0.99924], ""v10"": [0.072927, 0.059975, 0.021225]}"
12,14,45,5.0,greedy_probability,index,stochastic,10,True,regret,239,0.180204,0.00099935,0.00265526,0.00523048,0.00257522,"{""v0"": 0.318846, ""v1"": 0.092263, ""v2"": 0.000299, ""v3"": 0.000299, ""v4"": 0.000299, ""v5"": 0.000299, ""v6"": 0.000299, ""v7"": 0.000299, ""v8"": 0.042139, ""v9"": 0.004346, ""v10"": 0.000299, ""v11"": 0.001012, ""v12"": 0.294252, ""v13"": 0.24505}","{""v0"": [0.005291, 0.004629, 0.003477, 0.003129, 0.001863], ""v1"": [0.021528, 0.019493], ""v2"": [0.037237], ""v3"": [0.037434, 0.037393, 0.03739], ""v4"": [0.037545, 0.037541, 0.037516, 0.03748], ""v5"": [0.037375, 0.037329], ""v6"": [0.037552, 0.037542, 0.037489, 0.037329], ""v7"": [0.037541, 0.037486], ""v8"": [0.027514], ""v9"": [0.036764, 0.036628, 0.03633, 0.036299, 0.03623], ""v10"": [0.037862, 0.037826, 0.037802, 0.037784], ""v11"": [0.037643, 0.037602, 0.037577], ""v12"": [0.037934, 0.036586, 0.036245, 0.035791, 0.033994, 0.030977, 0.018066], ""v13"": [0.229931, 0.224143]}"
13,12,35,5.0,greedy_probability,index,stochastic,10,True,regret,2094,0.562297,0.00099970,0.00577470,0.98699604,0.98122134,"{""v0"": 0.545912, ""v1"": 4e-05, ""v2"": 4e-05, ""v3"": 4e-05, ""v4"": 4e-05, ""v5"": 4e-05, ""v6"": 0.45369, ""v7"": 4e-05, ""v8"": 4e-05, ""v9"": 4e-05, ""v10"": 4e-05, ""v11"": 4e-05}","{""v0"": [0.055716, 0.05472, 0.050629, 0.018411], ""v1"": [0.999666, 0.999561, 0.99932, 0.999287], ""v2"": [0.998731, 0.998718, 0.998689], ""v3"": [0.999169, 0.999138, 0.998841], ""v4"": [0.998936, 0.998445, 0.998091], ""v5"": [0.999077, 0.998893, 0.998842, 0.998776], ""v6"": [0.059272, 0.052213, 0.040108], ""v7"": [0.999615, 0.999242], ""v8"": [0.999262, 0.999236], ""v9"": [0.999208, 0.999011, 0.998831], ""v10"": [0.999555, 0.999509], ""v11"": [0.999767, 0.999278]}"
14,14,34,5.0,greedy_probability,index,stochastic,10,True,regret,137,0.089392,0.00099872,0.00204249,0.01383262,0.01179013,"{""v0"": 0.221349, ""v1"": 0.271503, ""v2"": 0.000521, ""v3"": 0.021538, ""v4"": 0.000521, ""v5"": 0.000521, ""v6"": 0.034588, ""v7"": 0.000521, ""v8"": 0.000521, ""v9"": 0.000521, ""v10"": 0.000521, ""v11"": 0.219105, ""v12"": 0.083318, ""v13"": 0.144949}","{""v0"": [0.012731, 0.008499], ""v1"": [0.00187, 0.00166, 0.000804, 0.000642], ""v2"": [0.032505, 0.032239], ""v3"": [0.033892, 0.01761], ""v4"": [0.069421], ""v5"": [0.070519, 0.070356], ""v6"": [0.058375, 0.043232], ""v7"": [0.070824, 0.070802, 0.070754], ""v8"": [0.071009, 0.070992, 0.070974, 0.070788], ""v9"": [0.070726], ""v10"": [0.071004, 0.070982], ""v11"": [0.071246, 0.069939, 0.051031], ""v12"": [0.270942, 0.188693], ""v13"": [0.441891, 0.392232, 0.371819, 0.291383]}"
15,14,45,5.0,greedy_probability,index,stochastic,10,True,regret,276,0.172167,0.00099822,0.00395537,0.05284768,0.04889231,"{""v0"": 0.26329, ""v1"": 0.08035, ""v2"": 0.000259, ""v3"": 0.23158, ""v4"": 0.000259, ""v5"": 0.000259, ""v6"": 0.000259, ""v7"": 0.000259, ""v8"": 0.059697, ""v9"": 0.000259, ""v10"": 0.263809, ""v11"": 0.099204, ""v12"": 0.000259, ""v13"": 0.000259}","{""v0"": [0.054642, 0.035685], ""v1"": [0.164305, 0.12096, 0.089079], ""v2"": [0.267108, 0.266939, 0.266902, 0.266799], ""v3"": [0.267688, 0.267068, 0.18434], ""v4"": [0.996451, 0.996351, 0.99618, 0.996035, 0.993803], ""v5"": [0.996087, 0.996028, 0.995577, 0.995113, 0.993916], ""v6"": [0.994132, 0.993044, 0.992061], ""v7"": [0.995988, 0.99574, 0.994801], ""v8"": [0.706681, 0.614283], ""v9"": [0.996025, 0.995603, 0.995562, 0.991715], ""v10"": [0.134394, 0.128671, 0.117904], ""v11"": [0.566824, 0.510902, 0.361767], ""v12"": [0.996778, 0.994674], ""v13"": [0.9983, 0.997675, 0.997394]}"
16,10,27,5.0,greedy_probability,index,stochastic,10,True,regret,1173,0.275253,0.00099984,0.00403487,0.45403091,0.44999603,"{""v0"": 8.5e-05, ""v1"": 8.5e-05, ""v2"": 0.465352, ""v3"": 8.5e-05, ""v4"": 8.5e-05, ""v5"": 8.5e-05, ""v6"": 0.533966, ""v7"": 8.5e-05, ""v8"": 8.5e-05, ""v9"": 8.5e-05}","{""v0"": [0.994833, 0.993109, 0.992215, 0.992024], ""v1"": [0.996368, 0.996325], ""v2"": [0.045091, 0.036572, 0.030169, 0.028922, 0.027729, 0.021908], ""v3"": [0.994387], ""v4"": [0.991541], ""v5"": [0.996256, 0.99538], ""v6"": [0.046066, 0.032389, 0.023047], ""v7"": [0.997522, 0.997151], ""v8"": [0.998849, 0.998795, 0.997623], ""v9"": [0.999452, 0.99932, 0.998712]}"
